,lats,lons
0,2.081215288892845,1.991959493952564
1,2.280821758151882,2.6278362666386563
2,2.3237008092698366,2.695415999044873
3,2.549673213540965,2.666344345083826
4,2.565356932647385,3.1279690869426013
5,1.9694568769163037,3.1922677602820406
6,1.6329734833987153,2.273812103108794
7,1.073008735585629,3.1722638197831357
8,0.737750472575123,4.053905916267345
9,1.0525605344198752,4.233613224412794
10,0.6861539306761582,2.6440132873086233
11,0.6422907958327592,2.660795780566782
12,0.3087633578127351,1.5353388871058073
13,0.25923365193774006,0.024447314070243913
14,0.4108720605557217,1.1411167751233118
15,1.2098187371761897,1.7632996862077406
16,1.1647334614123759,1.4523482437230455
17,1.5407909108039506,1.7913749700778627
18,1.4070602503168055,1.3390831087821895
19,1.3551692744923194,1.114902177133146
20,1.030075186144289,0.6302825590874178
21,0.8819672655853712,0.167123349239831
22,1.573368107326805,0.5368655255441277
23,1.6195736705713004,0.5997839575228912
24,1.6438938717044818,0.9101300979386053
25,1.7243969141601576,0.9164717397129717
26,2.024694893694843,1.5663544487138323
27,1.92875480147763,1.7698242689994925
28,2.4342758804324647,3.1363582230301574
29,0.843487404193032,5.288042249877174
30,1.635526151798695,0.6374966804529485
31,0.9771933669683458,4.347940143945901
32,2.3185358908170777,5.496904880317141
33,2.183393801615908,5.735269433616918
34,1.8535263733479765,4.32079867709837
35,2.0774944334425776,0.7593604144983077
36,2.4409312538197874,0.8532847447009568
37,2.145764471827613,4.505834814011428
38,1.9380220032498168,6.085959282725563
39,2.8679666842754217,2.730703644480897
40,1.552673820534419,5.08962717124006
41,1.2428213053330142,5.8643010916343865
42,1.1662252644891047,5.028927614496419
43,0.9854975448426945,4.4025896549461425
44,1.178483755638478,5.752380241578438
45,2.354764475048342,1.6365469007510902
46,1.8403028823408343,4.4619664943278465
47,2.0013619653373675,0.3325670808510822
48,1.068342736780555,5.842767783538282
49,1.2338307344231854,3.9095184782290486
50,2.3224666640220955,3.920330826443878
51,1.709613122240997,5.246711944487213
52,1.7879027180453977,6.13927544775817
53,1.6898519868407462,4.696263329701919
54,0.5202798230946921,5.785294577755173
55,1.9053313876824691,4.266483500164089
56,1.4963276572791089,4.544319000178723
57,1.9015002882444545,5.05056941505109
58,1.8663861481632165,4.50776240768894
